,Dynamics,delta,loss,pval
4,SIS,0.9,0.04471290856599808,0.82
5,SIS,0.9,0.06855983287096024,0.8
6,SIS,0.9,0.04814015328884125,0.77
7,SIS,0.9,0.07614055275917053,0.76
8,SIS,0.9,0.09353277832269669,0.8
9,SIS,0.9,0.0549270398914814,0.77
0,SIS,1.0,0.06632942706346512,0.82
1,SIS,1.0,0.07359281182289124,0.8
2,SIS,1.0,0.07491762936115265,0.79
3,SIS,1.0,0.06354616582393646,0.76
4,SIS,1.0,0.08487583696842194,0.83
5,SIS,1.0,0.0882088765501976,0.74
6,SIS,1.0,0.08640525490045547,0.83
7,SIS,1.0,0.060488492250442505,0.79
8,SIS,1.0,0.08725235611200333,0.77
9,SIS,1.0,0.07437408715486526,0.79
